"TimeStamp","Source","Destination","Status","ResponseTime"
"15/06/2014 16:37:44","192.168.1.16","192.168.1.204","Success","11"
"15/06/2014 16:37:45","192.168.1.16","192.168.1.204","Success","4"
"15/06/2014 16:37:46","192.168.1.16","192.168.1.204","Success","7"
"15/06/2014 16:37:47","192.168.1.16","192.168.1.204","Success","4"
"15/06/2014 16:37:48","192.168.1.16","192.168.1.204","Success","5"
"15/06/2014 16:37:49","192.168.1.16","192.168.1.204","Success","5"
"15/06/2014 16:37:50","192.168.1.16","192.168.1.204","Success","4"
"15/06/2014 16:37:51","192.168.1.16","192.168.1.204","Success","4"
"15/06/2014 16:37:52","192.168.1.16","192.168.1.204","Success","5"
"15/06/2014 16:37:53","192.168.1.16","192.168.1.204","Success","4"
"15/06/2014 16:37:54","192.168.1.16","192.168.1.204","Success","8"
"15/06/2014 16:37:55","192.168.1.16","192.168.1.204","Success","4"
"15/06/2014 16:37:56","192.168.1.16","192.168.1.204","Success","8"
"15/06/2014 16:37:57","192.168.1.16","192.168.1.204","Success","5"
"15/06/2014 16:37:58","192.168.1.16","192.168.1.204","Success","5"
"15/06/2014 16:37:59","192.168.1.16","192.168.1.204","Success","6"
"15/06/2014 16:38:00","192.168.1.16","192.168.1.204","Success","6"
"15/06/2014 16:38:01","192.168.1.16","192.168.1.204","Success","4"
"15/06/2014 16:38:02","192.168.1.16","192.168.1.204","Success","9"
"15/06/2014 16:38:03","192.168.1.16","192.168.1.204","Success","6"
"15/06/2014 16:38:04","192.168.1.16","192.168.1.204","Success","8"
"15/06/2014 16:38:05","192.168.1.16","192.168.1.204","Success","5"
"15/06/2014 16:38:06","192.168.1.16","192.168.1.204","Success","5"
